age,sex,is_camp_user,night_call_dura_rate,night_call_cnt_rate,called_cnt_rate,contact_ratio,once_numbers,once_numbers_rate,top5_call_dura_rate,top5_call_cnt_rate,top5_opp_belo_cnt,top10_call_dura_rate,top10_call_cnt_rate,top10_opp_belo_cnt,label
39,2,0,80.5063,42.8571,71.4286,1,0,0,100,100,3,100,100,6,0
40,1,0,0.1106,0.2899,57.3913,14,7,31.8182,66.2702,57.3913,2,90.4251,85.7971,3,0
42,1,0,1.2939,1.9802,49.505,9,6,30,67.3115,57.9208,1,81.375,73.2673,1,0
26,1,0,5.4765,2.457,48.4029,16,21,47.7273,78.3897,61.4251,1,85.2034,70.516,2,0
46,1,0,3.9771,6.1856,38.6598,10,21,60,68.2932,61.8557,1,83.2216,73.7113,2,0
58,1,0,1.1092,1.0204,57.1429,9,10,52.6316,49.1248,42.8571,2,77.0725,56.1224,2,0
42,1,0,0,0,44.4444,0,1,33.3333,100,100,2,100,100,2,1
41,1,0,6.5043,5.1282,56.4103,3,9,60,65.7683,37.1795,1,85.4107,52.5641,1,0
35,1,0,12.0466,4.5455,77.2727,1,1,50,90.4145,54.5455,2,97.9922,86.3636,2,0
36,2,0,0.4072,1.4925,52.2388,11,3,23.0769,74.8441,62.6866,1,91.8946,85.8209,1,0
52,1,0,0.5715,2.6316,52.1053,14,10,50,59.6383,42.6316,2,82.5657,76.8421,3,0
51,1,0,6.9763,2,60,2,1,33.3333,95.7943,88,1,99.9601,98,1,0
43,1,1,3.93,3.2154,53.6977,11,10,50,83.691,76.5273,1,95.2537,90.3537,1,0
53,2,0,7.587,5.5556,50,1,4,80,96.3404,77.7778,1,100,100,1,0
58,1,0,2.7201,3.2258,67.7419,1,4,66.6667,90.9636,88.7097,1,99.539,96.7742,1,0
40,1,0,14.9793,5,55,5,7,50,69.2262,43.3333,1,83.922,56.6667,1,0
48,1,0,0.7777,4.4444,48.8889,3,2,40,97.118,95.5556,3,100,100,3,0
46,1,0,0.2836,2.0833,60.4167,3,5,55.5556,74.4268,52.0833,2,93.8312,83.3333,5,0
38,2,0,6.4521,21.4286,47.8571,9,12,48,58.2628,26.4286,1,75.1509,33.5714,1,0
55,1,0,0.6391,2.3529,46.4706,13,8,36.3636,64.8944,50.5882,1,80.1438,67.6471,1,0
39,2,0,0.6772,2.3256,55.0388,5,3,23.0769,80.5253,61.2403,2,94.277,75.1938,3,0
53,1,0,1.8985,3.2609,56.5217,8,11,57.8947,67.3345,48.913,1,83.9248,64.1304,1,0
34,2,0,1.6096,3.2468,44.8052,11,8,44.4444,79.2381,68.5065,1,92.1664,83.7662,1,0
41,1,0,4.802,6.422,67.8899,8,4,44.4444,83.8585,73.3945,1,96.9503,93.578,1,0
50,2,0,1.4344,5.7143,82.8571,4,4,80,86.2412,68.5714,2,98.185,88.5714,2,0
64,2,0,0.4383,1.6393,60.6557,5,2,50,86.835,60.6557,2,96.4852,83.6066,3,0
25,1,0,9.7378,8.3333,58.3333,0,3,75,83.5206,66.6667,2,100,100,4,0
37,2,0,0.7946,9.0909,36.3636,2,0,0,100,100,1,100,100,2,0
23,1,0,14.4526,2.439,73.1707,2,3,50,78.0443,68.2927,3,96.679,90.2439,4,0
31,2,0,0,0,65.3846,1,4,66.6667,72.4003,26.9231,5,94.8986,53.8462,8,1
59,1,0,21.0847,11.1111,66.6667,1,1,50,100,100,2,100,100,3,0
26,2,1,7.632,4.8,68.8,2,3,50,98.5458,88,2,99.5803,92.8,3,0
65,2,1,0.8384,2.381,55.9524,6,3,37.5,69.2638,51.1905,1,94.3763,92.8571,1,0
69,1,0,4.6048,8.0645,61.2903,4,5,50,70.8247,41.9355,2,88.6942,61.2903,3,1
68,2,0,8.7977,20,20,0,0,0,100,100,1,100,100,2,1
32,2,0,28.9961,7.1429,46.4286,7,5,38.4615,87.1054,65.1786,2,97.382,85.7143,2,0
28,2,0,0.3883,0.8621,64.0805,11,14,35,44.8124,26.4368,1,61.1644,38.7931,1,0
19,1,1,5.7725,12.5,50,1,4,66.6667,88.2852,75,1,100,100,2,0
24,1,0,2.0761,3.4483,62.069,4,1,20,91.3495,89.6552,3,100,100,4,0
44,1,0,0.8011,2.2099,56.9061,11,12,52.1739,47.0386,53.0387,2,68.0544,71.8232,3,0
52,1,0,0.2841,4.2857,31.4286,6,11,61.1111,51.7881,50,1,81.7179,81.4286,1,0
60,2,0,7.8494,8.7379,78.6408,6,3,42.8571,93.5269,91.2621,1,100,100,2,0
57,2,0,6.0023,9.5238,65.0794,7,7,70,96.2605,47.619,2,99.4321,90.4762,2,0
55,2,1,0.6135,1.2658,65.8228,4,3,42.8571,86.9461,86.0759,1,97.546,92.4051,2,0
45,1,0,0.506,2.5641,79.4872,3,2,50,86.401,69.2308,1,97.9127,89.7436,3,0
30,2,0,1.1042,2.3256,58.7209,6,9,60,84.4422,72.6744,1,92.6741,80.2326,2,0
23,2,0,0.1422,2.7027,32.4324,2,5,62.5,91.9818,75.6757,2,99.9431,97.2973,3,0
55,1,0,0.3757,1.1173,48.6034,10,16,59.2593,63.7794,37.9888,2,81.0926,54.7486,2,0
34,1,0,3.95,3.2389,52.6316,11,8,44.4444,51.0314,56.6802,2,75.2522,72.0648,3,0
24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,1,0,0.0769,0.625,70.625,11,6,37.5,67.4594,33.75,1,83.6555,60.625,1,0
37,1,1,0.7469,0.5263,54.2105,13,6,30,65.4324,55.2632,2,80.0393,74.2105,2,0
51,2,0,0.6462,3.125,68.75,4,1,33.3333,90.4281,75,1,99.5153,96.875,1,0
21,2,0,36.707,5.5556,75,3,2,40,96.9492,88.8889,2,100,100,2,0
31,1,0,20.8766,33.8583,50.3937,7,12,50,63.4984,55.1181,2,81.0425,69.2913,2,0
65,2,0,2.2,2.7875,53.3101,17,8,38.0952,65.7031,53.6585,1,84.7313,71.0801,1,0
34,1,0,1.7773,1.8519,59.2593,7,8,47.0588,51.3381,48.1481,1,77.5689,62.037,1,0
20,1,0,4.952,5.483,56.1358,18,34,66.6667,54.9675,47.5196,3,71.3399,59.2689,4,1
19,1,0,15.9769,12,20,2,4,57.1429,85.6593,92,3,100,100,7,0
18,1,0,2.0228,3.5714,50.8929,2,33,86.8421,74.2566,52.6786,1,83.7828,59.8214,2,0
31,1,0,32.711,6.0345,46.5517,5,11,64.7059,67.289,57.7586,1,84.0814,64.6552,2,0
26,1,0,20.487,16.129,41.9355,2,2,50,100,100,3,100,100,4,0
19,2,1,20.3041,5.2632,84.2105,1,3,100,77.3703,42.1053,1,94.3649,68.4211,3,0
26,2,0,4.3157,5.8824,48.2353,2,1,25,99.2132,97.6471,2,100,100,3,0
70,1,0,1.8265,7.8652,52.809,5,0,0,84.3851,78.6517,1,98.8327,93.2584,2,0
21,1,1,1.4049,3.125,93.75,1,2,100,75.3512,31.25,3,84.7382,46.875,4,0
23,2,0,12.3604,2.7027,64.8649,3,2,50,93.3756,64.8649,3,98.3503,86.4865,4,0
51,2,0,0.9979,2.3529,51.7647,3,3,42.8571,97.4581,95.2941,1,100,100,2,0
52,1,0,5.6937,4.6667,28.6667,15,5,27.7778,71.8846,64.6667,1,87.0166,80,1,0
50,1,0,0.2139,1.2739,39.4904,10,17,58.6207,54.5289,56.051,1,80.0235,71.3376,1,0
34,2,0,1.3728,1.6949,76.2712,2,5,62.5,86.6329,79.661,1,94.8699,88.1356,2,0
29,1,0,15.5109,11.1111,88.8889,1,1,100,94.1606,66.6667,4,100,100,6,0
52,1,0,2.8174,5.5556,51.8519,5,5,50,82.1891,83.3333,1,95.9845,91.6667,1,0
48,2,0,0.3317,2.4691,40.7407,4,4,40,84.5905,67.9012,1,93.7325,75.3086,4,0
51,2,0,27.5497,1.9231,44.2308,3,10,62.5,77.3875,51.9231,1,90.2102,69.2308,1,0
44,2,0,12.076,2.7027,40.5405,1,7,58.3333,86.192,45.9459,4,95.3813,81.0811,5,0
52,1,0,0.9682,1.8182,65.4545,7,10,76.9231,71.5788,47.2727,3,92.2361,74.5455,3,0
34,2,0,1.2062,2.0833,70.8333,3,2,33.3333,87.0039,91.6667,1,100,100,2,0
48,2,0,7.116,8.1081,64.8649,3,5,55.5556,71.0345,48.6486,1,90.6583,67.5676,2,0
44,1,1,0.1472,1.9608,58.8235,5,12,75,72.4195,27.451,2,92.0202,62.7451,4,0
40,2,0,5.2139,0.7547,49.0566,9,8,47.0588,87.1554,72.8302,2,96.3162,87.5472,2,0
52,1,1,2.5097,0.7246,63.0435,10,2,18.1818,80.333,73.1884,1,91.5541,87.6812,1,0
49,1,0,0.9248,3.0769,46.1538,8,7,50,80.1097,67.6923,3,94.2006,84.6154,3,0
19,1,0,0.6983,5.5556,94.4444,1,1,100,99.4064,94.4444,3,100,100,4,0
45,2,0,2.3422,4.1667,58.3333,2,6,75,93.0384,70.8333,1,98.8289,91.6667,2,0
52,1,0,0.2917,1.2048,37.3494,5,3,37.5,98.7026,93.9759,2,100,100,3,0
59,1,0,8.414,5.3571,91.0714,1,3,75,75.7264,66.0714,1,89.1041,75,1,0
38,1,0,1.3602,1.8182,52.7273,3,3,42.8571,91.5869,87.2727,1,98.4887,96.3636,1,0
37,2,0,0.8253,1.937,33.6562,15,10,33.3333,56.4004,69.7337,1,79.2443,85.23,1,0
41,1,0,0.4676,1.3986,33.9161,9,36,59.0164,51.8028,34.6154,1,66.1236,47.2028,1,0
49,2,0,6.679,11.1111,22.2222,1,2,66.6667,100,100,3,100,100,4,0
35,2,0,0.0909,0.9259,21.2963,4,5,45.4545,85.1467,82.4074,1,98.8185,94.4444,1,0
33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,2,1,0.5935,1.3699,46.5753,4,2,25,95.4175,87.6712,2,99.8482,98.6301,3,0
48,1,0,0.0976,0.339,58.9831,11,3,25,79.9034,73.8983,2,94.7466,90.1695,3,0
52,2,1,23.4965,5.4054,40.5405,2,8,72.7273,89.2135,56.7568,1,97.6625,78.3784,1,0
33,1,0,0.239,0.8772,53.8596,31,27,41.5385,41.436,31.4035,1,58.388,48.0702,1,0
47,1,0,2.8104,2.5862,63.5776,17,7,25.9259,78.9162,64.2241,1,89.7308,79.3103,1,0
50,1,0,23.8373,1.7857,67.8571,3,3,50,96.1497,91.0714,1,100,100,2,0
29,2,0,10.5456,5.4795,52.0548,4,13,68.4211,76.75,52.0548,1,89.232,68.4932,1,0
38,1,0,5.771,5.2632,100,4,0,0,85.2262,47.3684,1,94.6214,65.7895,1,0
26,1,0,0.1883,4.1667,87.5,1,0,0,98.0223,50,3,99.4753,79.1667,4,0
51,1,0,0.6814,1.2195,34.7561,8,22,68.75,57.3849,72.561,2,74.2357,83.5366,2,0
39,1,0,0.3017,1.1765,44.7059,6,7,63.6364,94.2817,81.1765,3,98.484,89.4118,4,0
35,2,1,0.3343,1.6667,28.3333,4,5,55.5556,84.7208,83.3333,1,96.4226,91.6667,1,0
27,1,0,1.5369,6.4516,87.0968,5,1,50,97.3835,80.6452,4,100,100,4,0
37,1,0,1.664,4.2105,55.7895,7,6,40,80.2657,57.8947,2,92.0596,80,2,0
52,2,1,0.3089,0.885,61.0619,13,8,40,68.9892,45.1327,1,86.2708,68.1416,1,0
47,1,0,0,0,60.3774,2,12,85.7143,77.805,60.3774,2,94.2207,77.3585,4,1
24,1,1,2.2037,4,66,1,15,93.75,66.9442,62,2,85.2595,74,3,0
65,1,0,0.1009,0.9615,46.1538,8,3,25,78.3143,70.1923,1,93.4219,87.5,1,0
44,1,0,6.3721,9.6774,77.4194,0,7,100,61.3424,32.2581,3,81.4783,48.3871,3,0
